foodname,calories,protein,fat,carbs,salt
"Milchschokoladen-Riegel gefüllt mit Karamell, gerösteten Erdnüssen und Candycreme",494,9.08,25.48,54.96,0.6525
Schokoladen-Schaumkuss,380,2.96,8.66,68.47,0.101
Milchschokoladen-Riegel gefüllt mit Candycreme/mit Candycreme und Karamell,446,3.72,17.05,68.7,0.4712
Vollmilchschokoladen-Riegel gefüllt mit Milchcreme,565,7.51,40.26,39.39,0.1975
Kakaopulver schwach entölt,365,22.61,19.8,10.9,0.73
Aal roh,288,15.1,25.3,0.0,0.162
Dorschleber roh,549,4.4,59.0,0.0,0.12
"Hornfisch/Hornhecht, roh",107,19.5,3.2,0.0,0.155
Kabeljaurogen roh,113,22.4,2.6,0.0,0.265
Makrele roh,149,18.6,8.31,0.0,0.382
"Dorsch/Kabeljau, roh",79,17.8,0.84,0.0,0.18
"Köhler/Seelachs, roh",99,19.32,2.39,0.0,0.1298
Lachs roh,180,19.9,11.2,0.0,0.0798
Lachs geräuchert (Räucherlachs),170,21.25,9.2,0.16,2.925
Forelle geräuchert,137,21.2,5.52,0.0,2.0975
Matjesfilet (Heringsfilet) nordische Art,177,14.64,12.6,0.0,8.65
"Heringsfilet in Tomatencreme/Tomatensauce, Konserve",205,13.5,14.6,4.46,0.9312
Surimi (Krebsfleischimitat aus Fischmuskeleiweiß geformt),89,7.77,3.63,6.25,2.178
"Tintenfischringe paniert, tiefgefroren, gebacken (Ofen)",284,10.62,15.44,21.54,2.48
"Schwein Hackfleisch, roh",271,17.88,22.14,0.0,0.1318
"Rind Blut, roh",72,17.8,0.13,0.0,0.825
"Rind Keule, roh",148,21.0,7.1,0.0,0.15
"Schwein Fettbacke, ohne Schwartenzug (S VI) roh",425,13.16,41.37,0.0,0.1445
"Schwein Maske, ohne Mager- und Fettbacke (S XII) roh",315,19.1,26.46,0.0,0.2858
"Schwein Wamme, mittelfett, ohne Schwartenzug (S X) roh",489,11.43,49.28,0.0,0.123
"Schwein Schwarte, gekocht",237,28.71,13.58,0.0,0.1468
"Schwein Blut, roh",75,18.5,0.11,0.0,0.518
"Schwein Filet/Lende, roh",118,22.79,2.97,0.0,0.1225
Schwein Kotelett (Rücken/cranial) roh,175,21.02,10.08,0.0,0.1218
Schwein Kotelett (Rücken/caudal) roh,115,23.56,2.35,0.0,0.1095
Schwein Bauch (wie gewachsen) roh,324,17.74,28.06,0.0,0.1522
"Schwein Brustspitze, roh",196,19.66,13.07,0.0,0.174
Schwein Dicker Bug (mit Fett und Schwarte) roh,198,20.4,12.92,0.0,0.1422
Schwein Dünner Bug (ohne Fett und Schwarte) roh,135,20.51,5.83,0.0,0.1605
Schwein Restbug (Teile) roh,121,21.51,3.83,0.0,0.1542
"Schwein Vordereisbein/Vorderhaxe, roh",200,22.99,12.06,0.0,0.2512
"Schwein Rohschinken, mager, Rohpökelware, geräuchert",138,28.45,2.02,0.12,5.55
"Schwein Rohschinken, mit Fettrand, Rohpökelware, geräuchert",270,24.05,18.85,0.14,4.6375
"Schwein Nuss, roh",109,21.77,2.43,0.0,0.1358
"Schwein Hüfte/Schinkenspeck, roh",127,22.28,4.23,0.0,0.1188
Schwein Unterschale (mit Rolle) roh,222,19.9,15.79,0.0,0.1435
Schwein Oberschale (ohne Deckel) roh,115,23.01,2.51,0.0,0.1192
"Schwein Hintereisbein/Hinterhaxe, roh",222,20.12,15.7,0.0,0.2122
"Schaf Rücken, roh",120,21.6,3.77,0.0,0.15
"Schaf Hals/Kamm/Nacken, roh",180,18.1,11.9,0.0,0.165
Rindfleischbrühe Konserve,8,1.48,0.22,0.0,0.638
"Hähnchen ganz, entbeint, mit Haut, roh",186,18.37,12.53,0.0,0.1612
"Schwein Herz, roh",117,16.9,5.53,0.0,0.275
"Kalb Hirn, roh",109,10.1,7.6,0.0,0.395
"Rind Leber, roh",131,19.21,3.66,5.3,0.29
"Kalb Leber, roh",86,14.9,1.15,4.1,0.218
"Schwein Leber, roh",131,20.96,4.77,1.0,0.2492
"Rind Lunge, roh",98,18.1,2.9,0.0,0.495
"Schaf Lunge, roh",90,16.7,2.6,0.0,0.392
"Schaf Milz, roh",97,17.2,3.1,0.0,0.21
"Lamm Milz, roh",97,17.2,3.1,0.0,0.21
"Lamm Niere, roh",87,16.1,2.54,0.0,0.398
"Schaf Bries, roh",81,13.2,3.16,0.0,0.148
"Schwein Zunge, roh",190,17.27,13.44,0.0,0.2325
"Hähnchen Herz, roh",165,13.09,12.5,0.0,0.2625
"Hähnchen Leber, roh",112,17.44,4.15,1.2,0.28
"Hähnchen Magen, roh",82,15.9,2.0,0.0,0.2045
Streichmettwurst/Streichmettwurst mit Zwiebeln,231,12.1,19.8,0.22,2.575
Teewurst fein/grob/Rügenwalder Art,373,12.72,35.6,0.0,2.888
Geflügelsalami mit Pflanzenfett,307,20.35,24.35,0.009,3.7875
Wiener Würstchen,289,12.9,26.15,0.0,2.0405
Lyoner/Lyoner Wurst,281,12.25,25.5,0.25,2.0125
"Fleischkäse einfach, fein/Original Bayerischer Leberkäse fein",282,13.5,24.9,0.57,2.26
Bierwurst/Blasenwurst,275,13.73,24.0,0.46,1.84
Delikatess Leberwurst/Feine Leberwurst/Gutsleberwurst,357,12.3,33.15,2.05,1.875
Mettwurst gekocht,315,16.32,27.42,0.26,1.76
"Lachsschinken, Rohpökelware, geräuchert",123,24.43,2.08,0.76,3.8375
Lebkuchen schokoliert,399,6.74,11.5,64.64,0.2325
Hühnerbrühe,5,0.5,0.3,0.0,0.85
Gemüsebrühe,4,0.32,0.1,0.54,0.67
Leinsamen,470,22.27,36.5,1.7,0.142
Fischbrühe,8,1.0,0.4,0.0,0.738
Fleischbrühe (Rind),3,0.4,0.2,0.0,0.562
Walnuss,721,16.07,70.6,3.0,0.0
Vanilleeis,194,2.38,10.16,22.64,0.1035
Sesam,565,20.896,50.4,1.42,0.112
Sonnenblumenkern,564,26.11,47.6,4.8,0.0
Mohn,528,23.821,42.2,2.99,0.052
"Oliven grün, gesäuert, abgetropft",132,1.21,13.55,0.0,4.232
Bambussprossen roh,17,2.5,0.3,0.96,0.015
Buttermilch,39,3.23,0.56,4.73,0.094
Petersilienblatt roh,33,4.088,0.36,1.31,0.3138
Rosenkohl roh,40,4.45,0.34,2.26,0.022
Speisezwiebel roh,34,1.156,0.15,6.01,0.022
Aubergine roh,19,0.57,0.18,3.02,0.01
Gurke roh,16,1.062,0.2,1.97,0.008
Pastinake roh,59,2.6875,0.43,9.7,0.02
"Bohne grün, roh",28,2.238,0.24,3.4,0.00495
"Dicke Bohne unreif, roh",63,5.4,0.6,6.2,0.048
"Erbse grün, roh",88,5.9,0.48,12.303,0.005
Zuckererbse roh,38,3.6,0.2,4.4,0.04
Vegetarische Wiener Würstchen,248,21.6,15.07,5.45,1.7688
"Schwein Kamm, roh",175,19.21,10.9,0.0,0.1358
Roggenvollkornschrotbrot,193,6.04,1.81,32.49,1.1012
Weizentortilla,296,8.85,7.85,46.639,1.542
Weizentoastbrot/Buttertoastbrot,261,8.29,3.59,46.8,1.495
"Amaranth gepufft, ungesüßt",393,13.24,5.9,66.92,0.0028
Amaranth roh,377,14.04,5.93,62.38,0.0018
"Quinoa tricolore, roh",369,13.33,6.2,60.17,0.003
"Quinoa gepufft, ungesüßt",380,9.04,3.3,75.65,0.0085
Hartweizen Vollkornmehl,346,14.4,2.32,60.94,0.0018
Einkorn Vollkornmehl,337,13.93,2.86,58.9,0.0018
"Weizen gepufft, ungesüßt",368,15.4,2.0,67.5,0.005
Emmer Vollkornmehl,342,13.09,2.34,63.27,0.0018
"Weizen ganzes Korn, roh",331,12.8125,1.833,59.213,0.02
Hartweizen Grieß,352,13.36,1.48,68.92,0.0018
Weizen Dunst,355,10.64,0.82,73.72,0.0018
Weichweizen Grieß,355,10.72,0.88,73.97,0.0018
"Roggen Mehl, Type 997",321,7.74,1.05,63.73,0.0018
Roggen Grieß,323,7.54,0.92,65.17,0.0018
Roggen Vollkornmehl,312,9.0,1.33,56.56,0.0018
"Roggen Mehl, Type 1150",319,8.03,1.14,61.74,0.0018
"Roggen Mehl, Type 1740",315,8.98,1.27,57.46,0.0018
"Roggen Mehl, Type 1370",318,8.85,1.22,59.18,0.0018
"Roggen Backschrot, Type 1800",312,9.0,1.37,55.91,0.0018
Dinkel Grieß,342,12.52,1.81,65.75,0.0018
"Dinkel ganzes Korn, roh",337,14.25,2.45,58.82,0.0018
Dinkel Vollkornschrot,338,14.85,2.42,58.73,0.0018
"Dinkel Mehl, Type 630",352,13.17,1.38,68.35,0.0018
"Grünkern ganzes Korn, roh",329,11.07,2.68,59.18,0.0018
"Dinkel Mehl, Type 1050",348,13.87,2.16,65.06,0.0018
"Dinkel Mehl, Type 812",352,13.7,1.57,67.58,0.0018
Dinkel Kleie,270,17.06,5.88,18.24,0.0018
Buchweizen Vollkornmehl,355,11.703,2.71,68.201,0.002
Buchweizen Mehl,350,12.52,3.12,65.08,0.0008
Buchweizen Schrot,339,13.05,3.13,61.86,0.0008
Buchweizen Grütze,322,13.05,1.55,61.16,0.002
Hirse Schrot,352,11.79,3.13,67.6,0.001
Hirse Flocken,352,11.79,3.13,67.6,0.001
Hirse Mehl,378,11.6,4.25,71.6,0.03
"Cornflakes gesüßt, angereichert mit Vitaminen",366,6.24,1.75,79.35,0.8638
"Reis gepufft, ungesüßt",365,7.5,2.3,77.47,0.0125
Popcorn ungesüßt,338,12.0,4.4,55.3,0.015
Tortillachips (Nachos),471,5.96,21.2,61.9,0.825
"Cerealien extrudiert, gesüßt, ungefüllt, mit Zimtgeschmack",424,8.36,9.38,73.36,0.3175
"Cerealien extrudiert, gesüßt, ungefüllt, mit Frucht-/Honig-/Karamell-/Schokogeschmack, angereichert mit Vitaminen und Mineralstoffen",371,7.92,2.76,75.33,0.547
"Cerealien extrudiert, gesüßt, divers gefüllt, angereichert mit Vitaminen und Mineralstoffen",481,6.98,21.08,63.7,0.2962
"Cerealien aus Vollkornweizenschrot, gesüßt, ungefüllt, Natur/Frucht/Schokolade, angereichert mit Vitaminen und Mineralstoffen",363,10.36,1.8,71.29,0.0045
"Reisdrink ungesüßt, angereichert mit Vitaminen und Calcium",59,0.0,1.04,12.31,0.0975
"Haferdrink ungesüßt, angereichert mit Vitaminen, Calcium und Jod",29,0.74,1.01,4.0,0.118089
Doppelkekse mit Kakaocremefüllung,471,5.37,17.59,71.18,0.3812
Gänseei roh,177,13.9,13.3,0.34,0.345
Wachtelei roh,135,13.175,9.0,0.34,0.385
Putenei roh,163,13.7,11.9,0.34,0.378
"Hühnerei Eigelb, Pulver",671,34.2,59.3,0.23,0.228
"Hühnerei Eiklar, Pulver",338,81.1,0.12,3.1,3.55
Quitte roh,53,0.42,0.5,8.2,0.005
Birne roh,58,0.3,0.29,13.16,0.001945
"Apfelkompott/Apfelmark, ungesüßt, Konserve",63,0.4,0.27,14.07,0.001
"Apfel geschält, roh",43,0.3,0.13,8.9,0.002
"Eberesche süß, roh",73,1.3,1.2,12.7,0.0015
"Japanische Wollmispel/Loquat, roh",48,0.55,0.2,9.8,0.01
Mispel roh,45,0.5,0.2,9.2,0.01
"Apfel geschält, getrocknet",242,1.29,0.0,53.43,0.202
Pflaume roh,48,0.3,0.17,10.71,0.002
Nektarine roh,48,1.06,0.2,9.2,0.0012
Pfirsich roh,39,0.7,0.11,8.02,0.001718
Pfirsich getrocknet,282,4.9,0.6,54.11,0.0052
Kochbanane roh,130,1.18,0.07,29.5,0.008
Cherimoya roh,79,1.54,0.3,15.89,0.02
Rosine/Sultanine (Weinbeere getrocknet),288,2.7,1.0,61.8,0.028
Tamarillo roh,75,1.7,0.8,14.125,0.004
"Kapstachelbeere/Physalis, roh",81,2.3,1.1,14.125,0.004
Mangostane roh,67,0.6,0.6,14.125,0.002
Rambutan roh,63,1.0,0.1,13.7,0.002
Honigmelone roh,46,0.505,0.1,10.09,0.035
Wassermelone roh,35,0.6,0.4,6.96,0.008
Guave roh,45,0.9,0.5,6.0,0.01
Maracujasaft/Passionsfruchtsaft,51,0.8,0.4,10.04,0.0365168
Orange roh,49,1.0,0.2,8.85,0.005
Grapefruitsaft,37,0.53,0.1,7.305,0.002
Mandarinensaft,49,0.9,0.3,9.59,0.005
"Endivie/Escariol, roh",13,1.25,0.2,0.83,0.108
Chicoree roh,20,2.39,0.18,1.3,0.115
"Schnittsalat/Pflücksalat, roh",15,1.2,0.1,1.26,0.07
Portulak roh,14,1.482,0.34,0.587,0.005
Bleichsellerie roh,17,1.2,0.1,1.5,0.195
Eisbergsalat roh,15,0.8,0.2,1.62,0.022
Mangold roh,17,1.85,0.28,0.872,0.5422
Gemüseamaranth roh,20,2.46,0.33,0.93,0.05
Neuseeländer Spinat roh,15,1.5,0.2,0.93,0.325
Artischocke roh,44,2.4,0.12,2.69,0.118
Romanesco roh,35,2.424,0.28,5.33,0.03
Grünkohl roh,53,4.16,0.67,3.32,0.062
Wirsing roh,37,2.779,0.32,4.1,0.022
Spitzkohl roh,31,1.21,0.18,4.54,0.045
Chinakohl roh,18,1.8,0.2,1.38,0.032
Kohlrabi roh,28,1.94,0.16,3.88,0.05
"Sauerkraut abgetropft, roh",23,1.125,0.31,0.99,1.19
Palmenherz roh,32,2.7,0.2,3.98,0.035
"Frühlingszwiebel/Lauchzwiebel, roh",27,1.9,0.19,3.0,0.03
Knoblauch roh,97,6.05,0.42,3.0,0.0196695
Silberzwiebel roh,34,1.156,0.15,6.01,0.022
Frühlingszwiebel/Lauchzwiebel (ohne Laub) roh,32,0.9,0.15,5.99,0.032
Perlzwiebel roh,34,1.156,0.15,6.01,0.022
Schalotte roh,33,2.0,0.1,3.2,0.028
"Tomate geschält, Konserve",24,1.2,0.3,3.25,0.01
Kürbis Hokkaido (C. maxima) roh,30,1.4,0.2,5.298,0.018
Chayote roh,34,0.78,0.1,5.81,0.005
Schwarzwurzel roh,61,1.39,0.43,8.8,0.012
Wurzelpetersilie roh,76,2.88,0.47,13.8,0.03
Meerrettich roh,84,5.875,0.3,11.67,0.022
Wachsbohne roh,27,2.1,0.2,3.4,0.00495
Sojabohne unreif (Edamame) roh,146,13.0,6.8,6.2,0.038
"Erbse grün, tiefgefroren",77,4.9,0.7,10.0,0.01
Erdnussmus,620,29.0,49.7,9.9,0.008
Pekannuss,723,10.967,72.0,3.0,0.008
Cashewnussmus,623,17.6,49.4,26.0,0.038
Pinienkern,660,16.4,61.9,6.2,0.445
Mandel süß,544,22.333,46.6,3.87,0.00518
Macadamianuss geröstet ohne Fett,758,9.19,76.1,5.2,0.01
Pistazie,599,20.802,51.6,7.6,0.7285
"Pistazie geröstet ohne Fett, gesalzen",588,23.0,49.3,8.6,1.198
Chia-Samen,479,22.11,32.79,3.66,0.0008
"Oliven geschwärzt, in Salzlake, abgetropft",140,0.84,14.84,0.0,1.838
Augenbohne reif,319,23.5,1.26,45.751,0.04
Dicke Bohne reif,349,27.0,1.53,46.7,0.032
Kidneybohne reif,316,22.8,0.83,40.3,0.06
Weizenkleber/Weizengluten,394,80.6,1.85,13.46,0.072
Sojamehl vollfett,514,38.362,22.8,24.0,0.01
Hefe Flocken/Nährhefe,305,48.7,4.5,6.2,0.352
Linse reif,323,23.357,1.7,44.8,0.018
Erbse reif,311,23.023,1.44,40.5,0.06
Sojabohne reif,388,38.2,18.267,6.6,0.012
Kichererbse reif,317,18.583,5.915,39.6,0.058
Limabohne (Butterbohne Mondbohne) reif,325,20.6,1.4,48.635,0.032
"Mandeldrink ungesüßt, angereichert mit Vitaminen und Calcium",24,0.87,2.159,0.2,0.12751099
Sojadrink ungesüßt,30,3.22,1.297,0.4,0.063690872
"Dessert/Puddingalternative, pflanzlich, angereichert mit Vitaminen und Calcium",89,2.32,3.78,10.85,0.065
"Soja-Joghurtalternative ungesüßt, angereichert mit Vitaminen und Calcium",44,4.17,2.67,0.33,0.0852
"Pommes frites tiefgefroren, frittiert",203,2.9,9.04,25.94,0.066
"Kartoffel ungeschält, roh",86,2.05,0.1,18.46,0.02
"Pommes frites tiefgefroren, gebacken",167,3.03,4.33,27.4,0.0715
Pommes frites tiefgefroren,123,2.23,3.22,20.17,0.054
Kartoffelchips energiereduziert,464,6.2,21.5,57.9,1.825
Kartoffelsticks,502,6.5,31.5,46.52,1.8
Edel-Reizker roh,36,2.833,0.67,2.9,0.015
Steinpilz roh,46,5.4,0.4,3.27,0.015
Hallimasch roh,37,3.171,0.68,2.9,0.10332
Trüffel roh,73,8.288,0.51,0.6,0.192
"Milch entrahmt, frisch, höchstens 0,1 % Fett, pasteurisiert",34,3.418,0.07,4.8,0.132
"Milch fettarm, 1,5 % Fett, laktosefrei, pasteurisiert",44,3.49,1.54,4.11,0.118
Sahneersatz (Mischung aus pflanzlichen Fetten und Milch),182,1.57,18.0,3.43,0.0702
"Vollmilch 3,5 % Fett, laktosefrei, pasteurisiert",62,3.55,3.49,4.15,0.0872
Ziegenmilch mind. 3 % Fett,67,3.615,3.92,4.2,0.105
"Schafmilch mind. 4,5 % Fett",92,5.163,5.967,4.432,0.128
"Joghurt fettarm, mind. 1,5 % bis max. 1,8 % Fett",62,5.035,1.6,6.046,0.142
"H-Milch fettarm, 1,5 % Fett, laktosefrei, ultrahocherhitzt",46,3.16,1.45,4.61,0.0928
Kondensmagermilch max. 1 % Fett,85,8.2,0.24,12.1,0.3
"H-Vollmilch 3,5 % Fett, laktosefrei, ultrahocherhitzt",63,3.18,3.49,4.59,0.0895
"Kondensmilch teilentrahmt, mind. 1 % bis < 7,5 % Fett",109,7.6,4.1,10.3,0.28
"Joghurt mind. 3,5 % Fett, mit Magermilchpulverzusatz",74,4.2,3.5,5.8,0.15
"Joghurt mind. 3,5 % Fett, laktosefrei",68,3.98,3.46,4.36,0.1
"Dickmilch/Sauermilch, mind. 3,5 % Fett",67,3.3,3.5,4.8,0.125
Sahnejoghurt mind. 10 % Fett,124,3.3,10.0,4.5,0.115
"Kefir mind. 3,5 % Fett",63,3.164,3.5,4.13,0.115
Schafjoghurt,90,3.87,6.2,4.02,0.0972
Süßmolke,25,0.82,0.24,4.7,0.112
Schlagsahne mind. 30 % Fett,308,2.312,31.7,3.27,0.085
Kaffeesahne mind. 10 % Fett,124,3.037,10.5,4.05,0.1
"Kondensmilch mind. 7,5 % Fett",132,6.358,7.57,9.32,0.245
"Trinkjoghurt aus entrahmter Milch, max. 0,5 % Fett, mit Fruchtzubereitung, gesüßt",75,3.45,0.42,13.26,0.1255
"Joghurt mild, max. 3,8 % Fett, mit Fruchtzubereitung, gesüßt, laktosefrei",97,3.01,2.96,13.2,0.104
"Trinkjoghurt mind. 3,5 % Fett, mit Fruchtzubereitung, gesüßt",96,3.01,2.96,13.0,0.104
Chester (Cheddar) mind. 50 % Fett i. Tr.,387,22.984,32.2,0.206,1.45025
Bergkäse mind. 45 % Fett i. Tr.,395,28.9,30.805,0.0,0.75
Bergkäse mind. 50 % Fett i. Tr.,423,26.9,34.8,0.0,0.988
Chester (Cheddar) mind. 45 % Fett i. Tr.,370,26.6,28.8,0.0,1.75
Provolone mind. 45 % Fett i. Tr.,398,26.08,31.98,0.0,2.075
Hartkäse mind. 45 % Fett i. Tr.,374,27.5,29.15,0.0,0.532
Jarlsberg mind. 45 % Fett i. Tr.,352,26.7,26.9,0.0,1.5
Tilsiter mind. 60 % Fett i. Tr.,419,19.0,37.8,0.0,1.5
Wilstermarschkäse mind. 45 % Fett i. Tr.,321,23.4,24.9,0.0,1.75
Fontina mind. 50 % Fett i. Tr.,386,25.6,31.1,0.0,1.95
Raclettekäse mind. 45 % Fett i. Tr.,342,22.8,27.5,0.0,1.595
Edamer mind. 50 % Fett i. Tr.,369,25.0,29.6,0.0,1.5
Edamer mind. 45 % Fett i. Tr.,355,24.295,28.3,0.0,1.28
Tilsiter mind. 50 % Fett i. Tr.,359,22.3,29.6,0.0,1.5
Tilsiter mind. 45 % Fett i. Tr.,355,25.764,27.7,0.025,1.74
Edamer mind. 30 % Fett i. Tr.,262,28.046,16.2,0.049,1.28
Edamer mind. 40 % Fett i. Tr.,317,25.85,23.4,0.0,1.92
Danbo mind. 45 % Fett i. Tr.,323,23.6,25.0,0.05,1.695
Halloumi Grillkäse,315,21.46,25.06,0.1,1.5662
Butterkäse mind. 50 % Fett i. Tr.,347,21.46,28.8,0.01,1.98
Esrom mind. 45 % Fett i. Tr.,328,23.7,25.7,0.01,1.945
Steinbuscher mind. 50 % Fett i. Tr.,316,20.0,26.0,0.01,2.0
Weißlacker mind. 40 % Fett i. Tr.,268,21.8,19.7,0.01,3.5
Butterkäse mind. 45 % Fett i. Tr.,310,23.614,23.5,0.1,1.98
Steinbuscher mind. 45 % Fett i. Tr.,296,21.6,23.0,0.01,2.5
Weißlacker mind. 50 % Fett i. Tr.,327,20.0,27.0,0.01,3.5
Weißlacker mind. 45 % Fett i. Tr.,294,20.8,23.0,0.01,3.5
Trappistenkäse mind. 50 % Fett i. Tr.,374,23.5,30.7,0.01,1.5
Butterkäse mind. 60 % Fett i. Tr.,384,17.0,34.7,0.01,1.98
Steinbuscher mind. 30 % Fett i. Tr.,243,26.5,15.0,0.01,1.5
Trappistenkäse mind. 45 % Fett i. Tr.,345,25.1,26.8,0.01,1.5
Camembert mind. 60 % Fett i. Tr.,378,17.9,34.0,0.01,1.772
"Weinkäse, Weichkäse, mind. 60 % Fett i. Tr.",382,17.0,34.7,0.01,2.0
Weichkäse mind. 70 % Fett i. Tr.,413,13.2,40.0,0.01,1.75
Weichkäse mind. 60 % Fett i. Tr.,367,16.8,33.2,0.01,1.75
Brie mind. 50 % Fett i. Tr.,341,22.139,27.9,0.107,1.575
Camembert mind. 50 % Fett i. Tr.,313,20.082,25.7,0.101,1.672
Camembert mind. 30 % Fett i. Tr.,214,23.021,13.5,0.0,1.672
Brie mind. 45 % Fett i. Tr.,264,21.0,19.82,0.0,1.75
Weichkäse mind. 50 % Fett i. Tr.,310,19.8,25.5,0.0,1.75
Weichkäse mind. 45 % Fett i. Tr.,257,19.58,19.82,0.0,1.3955
Münster mind. 45 % Fett i. Tr.,292,21.6,22.6,0.01,2.55
Romadur mind. 40 % Fett i. Tr.,275,23.1,20.1,0.01,1.772
Romadur mind. 50 % Fett i. Tr.,313,20.0,25.7,0.01,1.772
"Weinkäse, Weichkäse, mind. 45 % Fett i. Tr.",294,21.18,23.0,0.01,2.5
Münster mind. 50 % Fett i. Tr.,322,20.9,26.3,0.01,2.25
Limburger mind. 50 % Fett i. Tr.,327,20.0,27.2,0.01,2.0
Romadur mind. 20 % Fett i. Tr.,180,23.9,9.16,0.01,1.772
Limburger mind. 20 % Fett i. Tr.,185,26.4,8.57,0.01,1.772
Weichkäse mind. 40 % Fett i. Tr.,249,21.18,18.22,0.01,1.985
"Schnittkäse aus Schafmilch, mind. 50 % Fett i. Tr.",383,19.16,33.63,0.012,1.2912
"Weichkäse aus Schafmilch, mind. 45 % Fett i. Tr.",279,17.86,22.66,0.6,1.4775
"Brotaufstrich aus pflanzlichen Fetten, Rahm, Joghurt entrahmt",230,4.8,22.1,2.47,0.418
"Speisequark Rahmstufe, 50 % Fett i. Tr.",178,8.3,14.5,2.9,0.1
"Frischkäsezubereitung Natur, mind. 50 % Fett i. Tr.",202,9.74,16.61,2.73,0.8
Mozzarella mind. 45 % Fett i. Tr.,259,17.12,20.99,0.0,0.468
"Sauerrahm/Creme fraiche, 30 % Fett",265,2.4,27.03,2.55,0.078
"Schmelzkäse aus Frischkäse, streichfähig, mind. 60 % Fett i. Tr.",328,10.7,29.6,4.1,1.8
Kochkäse < 10 % Fett i. Tr.,84,15.2,0.5,4.2,1.0
Körniger Frischkäse < 10 % Fett i. Tr.,73,11.8,1.2,3.0,0.5
Körniger Frischkäse mind. 20 % Fett i. Tr.,109,13.3,4.3,3.64,0.575
Schichtkäse mind. 10 % Fett i. Tr.,91,12.441,2.42,4.14,0.1
Schichtkäse mind. 20 % Fett i. Tr.,111,11.9,4.96,3.94,0.1
"Speisequark Viertelfettstufe, 10 % Fett i. Tr.",84,11.6,2.0,4.1,0.1
"Speisequark Halbfettstufe, 20 % Fett i. Tr.",110,12.245,5.1,3.04,0.088
Sauermilchkäse < 10 % Fett i. Tr.,128,30.031,0.473,0.0,2.638
"Frischkäsezubereitung mind. 10 % Fett i. Tr., mit Gemüse/Kräutern",107,16.0,3.0,3.3,0.975
"Skyr, Frischkäse < 10 % Fett i. Tr.",64,10.35,0.84,3.19,0.0832
"Frischkäse aus Schafmilch, Natur, mind. 45 % Fett i. Tr.",229,17.94,16.42,1.74,1.0488
"Schmelzkäse schnittfest, mind. 50 % Fett i. Tr.",348,17.0,29.0,4.1,3.0
Schmelzkäsezubereitung mind. 40 % Fett i. Tr.,254,15.0,19.0,5.1,2.75
"Schmelzkäse schnittfest, mind. 30 % Fett i. Tr.",221,14.8,13.6,9.0,3.0
"Schmelzkäse schnittfest, mind. 45 % Fett i. Tr.",299,15.7,23.6,5.1,2.8
Natürliches Mineralwasser still,0,0.0,0.0,0.0,0.0068
Natürliches Mineralwasser mit Kohlensäure,0,0.0,0.0,0.0,0.0068
Natürliches Mineralwasser mit geringem Mineraliengehalt,0,0.0,0.0,0.0,0.0035
Quellwasser,0,0.0,0.0,0.0,0.0058
Türkischer Mokka (Getränk),0,0.12,0.0,0.0,0.01
Kaffee (Getränk) entkoffeiniert,0,0.12,0.0,0.0,0.01
Espresso (Getränk),2,0.4,0.0,0.0,0.018
Kaffee (Getränk) koffeinreduziert,0,0.12,0.0,0.0,0.01
"Kaffee (Getränk) entkoffeiniert, aus Instantpulver",2,0.33,0.0,0.0,0.002
Instantkaffeepulver entkoffeiniert,150,19.5,1.2,4.1,0.12
Mate-Tee (Getränk),0,0.1,0.0,0.0,0.005
Schwarztee (Getränk) entkoffeiniert,0,0.0,0.0,0.0,0.005
"Hefeweizen/Weizenbier, 0,0 % vol",26,0.478,0.0,5.9,0.0032
"Hefeweizen/Weizenbier, alkoholfrei",22,0.484,0.0,4.7,0.0032
Lagerbier hell,36,0.4,0.0,2.283,0.012
Lagerbier dunkel,27,0.4,0.0,0.172,0.008
Bier kohlenhydratreduziert,32,0.422,0.0,0.8,0.0038
Leichtbier,27,0.422,0.0,2.2,0.0038
"Pilsner Bier, alkoholfrei",18,0.416,0.0,3.7,0.0038
Kölsch,38,0.422,0.0,2.218,0.0038
Altbier,40,0.502,0.0,2.284,0.004
Bockbier,49,0.9,0.0,2.1275,0.012
Stout,46,0.4,0.0,5.3,0.004
Doppelbock,50,0.503,0.0,2.131,0.004
Eiswein,141,0.077,0.0,23.06,0.0038
Wein alkoholfrei,18,0.097,0.0,3.0,0.0048
Aperitif alkoholfrei,64,0.129,0.0,15.0,0.0042
Federweißer (Traubenmost teilweise vergoren),73,0.15,0.0,1.288,0.005
Weißwein Beerenauslese/Trockenbeerenauslese,130,0.124,0.0,18.55,0.0042
Weißwein süß,89,0.143,0.0,6.15,0.0048
Weißwein lieblich,77,0.148,0.0,2.43,0.005
Portwein,161,0.1,0.0,11.9,0.01
Rotwein süß,95,0.0,0.0,5.15,0.0048
Rotwein lieblich,86,0.0,0.0,2.29,0.005
Sherry medium dry,119,0.1,0.0,5.9,0.068
Wermutwein trocken,105,0.1,0.0,3.0,0.028
Bitterlikör 11 % vol,150,0.0,0.0,25.0,0.0038
"Perlwein/Perlwein mit zugesetzer Kohlensäure, trocken",74,0.0,0.0,2.09,0.005
"Qualitätsschaumwein, Sekt, halbtrocken",80,0.0,0.0,3.9,0.005
"Qualitätsschaumwein, Sekt, süß",86,0.0,0.0,5.5,0.0048
"Qualitätsschaumwein, Sekt, herb/brut",69,0.0,0.0,0.63,0.005
"Qualitätsschaumwein, Sekt, extra trocken",72,0.0,0.0,1.34,0.005
