foodname,calories,protein,fat,carbs,salt
"Joghurt mild, aus entrahmter Milch, max. 1 % Fett, mit Fruchtzubereitung, gesüßt",75,3.45,0.42,13.26,0.1255
"Joghurt mild, max. 3,8 % Fett, mit Fruchtzubereitung, gesüßt",96,3.01,2.96,13.0,0.104
Emmentaler mind. 45 % Fett i. Tr.,374,27.5,29.15,0.0,0.532
Schnittkäse mind. 45 % Fett i. Tr.,337,25.22,26.04,0.0,1.3488
Gouda 48 % Fett i. Tr.,379,22.47,31.58,0.0,2.17
Schnittkäse halbfest mind. 45 % Fett i. Tr.,316,21.46,25.06,0.1,1.5662
Brie mind. 60 % Fett i. Tr.,329,15.22,29.7,0.01,0.9912
Camembert mind. 45 % Fett i. Tr.,257,19.58,19.82,0.05,1.3955
Limburger mind. 40 % Fett i. Tr.,249,21.18,18.22,0.019,1.985
"Schnittkäse aus Ziegenmilch, mind. 50 % Fett i. Tr.",384,19.16,33.63,0.022,1.2912
"Weichkäse aus Ziegenmilch, mind. 45 % Fett i. Tr.",285,17.86,22.66,1.92,1.4775
"Frischkäsezubereitung Natur, mind. 60 % Fett i. Tr.",252,6.6,23.25,3.69,0.7112
"Speisequark Magerstufe, Magerquark < 10 % Fett i. Tr.",66,11.85,0.18,3.68,0.084
"Frischkäse aus Ziegenmilch, Natur, mind. 45 % Fett i. Tr.",230,17.94,16.42,2.02,1.0488
Schmelzkäsezubereitung 45 - 52 % Fett i. Tr.,284,11.8,23.7,5.3,2.3088
"Frischkäsezubereitung mind. 60 % Fett i. Tr., mit Gemüse/Kräutern",234,5.57,21.46,3.89,0.875
Trinkwasser,0,0.0,0.0,0.0,0.0058
Kaffee (Getränk),1,0.12,0.0,0.0,0.01
Instantkaffeepulver,150,19.5,1.2,4.1,0.12
"Cappuccino Instantpulver, gesüßt",403,10.34,10.9,60.5,1.702
Grüntee (Getränk),0,0.1,0.0,0.0,0.005
"Malzgetränk, alkoholfrei",43,0.38,0.0,10.32,0.006
Rosewein lieblich,72,0.1,0.0,2.5,0.01
Haselnussöl,899,0.0,99.9,0.0,0.0
Mandelöl,900,0.0,100.0,0.0,0.0
Kürbiskernöl,900,0.0,100.0,0.0,0.001108
Butter mild gesäuert,747,1.188,82.2,0.571,0.028
Fischleberöl/Lebertran,900,0.0,100.0,0.0,2e-05
Rinderfett/Rindertalg,897,0.425,99.5,0.0,0.025
Tahin (Sesammus),595,18.0,56.0,0.7,0.14
Speisesalz/Siedesalz/Tafelsalz,0,0.0,0.0,0.0,95.3625
Nitritpökelsalz,0,0.0,0.0,0.0,99.0
Nitritpökelsalz jodiert,0,0.0,0.0,0.0,99.0
Apfelessig,18,0.2,0.0,0.147,0.045
Senf mittelscharf,111,5.51,6.96,2.94,3.275
Tomatenketchup,98,1.4,0.1,21.16,1.9
Sojasauce/Sojasoße,66,6.3,0.88,5.47,11.5325
"Feinkostsauce/Grillsauce, Mayonnaise-Basis",274,1.1,24.58,11.15,1.3925
Basilikum getrocknet,211,23.0,4.07,1.71,0.19
"Pfeffer schwarz, getrocknet",304,10.92,2.77,46.07,0.032
Backpulver,88,0.09,0.124,21.6,29.5
"Hirschhornsalz (Ammoniumhydrogencarbonat, E 503)",0,0.0,0.0,0.0,0.0
Sahnestandmittel,369,0.067,0.045,92.057,0.208
